Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Avg No. of Regenerations until valid board generation per game setting,Total No. of Times Matches Occurred during init,Avg No. of Times Matches Occurred during init per game setting,Total No. of Deadlocks during init,Avg No. of Deadlocks during init per game setting,Total No. of Times Game Started,Avg No. of Times Game Started per game setting,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per game setting,Average No. of Moves until Shuffle occurs per game setting,Total score,Avg score per Game Setting,Total Valid Moves Made,Avg No. of Valid Moves Made,Avg Score per Move,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per configuration,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game setting,Probability that the game will not start,Total Moves Available per Game Setting,Experiment Repeat
"(15, 15)",50,4,0.4,0,0,4,0.4,10,1,1044,104.4,0.957854406,3067,306.7,1000,100,3.067,51716,51.716,119,11.9,0.285714286,100,10
"(15, 15)",60,10,1,2,0.2,8,0.8,10,1,1505,150.5,0.664451827,3033,303.3,1000,100,3.033,47898,47.898,108,10.8,0.5,100,10
"(15, 15)",70,18,1.8,1,0.1,17,1.7,10,1,2074,207.4,0.482160077,3031,303.1,1000,100,3.031,53130,53.13,120,12,0.642857143,100,10
"(15, 15)",80,5,0.5,0,0,5,0.5,10,1,3127,312.7,0.319795331,3021,302.1,1000,100,3.021,50970,50.97,114,11.4,0.333333333,100,10
"(15, 15)",90,87,8.7,2,0.2,85,8.5,10,1,3894,389.4,0.256805342,3012,301.2,1000,100,3.012,53024,53.024,116,11.6,0.896907216,100,10
"(15, 15)",100,76,7.6,2,0.2,74,7.4,10,1,5461,546.1,0.183116645,3025,302.5,1000,100,3.025,59578,59.578,139,13.9,0.88372093,100,10
"(15, 15)",110,53,5.3,1,0.1,52,5.2,10,1,7228,722.8,0.138350858,3001,300.1,1000,100,3.001,49630,49.63,103,10.3,0.841269841,100,10
"(15, 15)",120,127,12.7,1,0.1,126,12.6,10,1,9880,988,0.101214575,3005,300.5,1000,100,3.005,48833,48.833,108,10.8,0.927007299,100,10
"(15, 15)",130,150,15,1,0.1,149,14.9,10,1,13757,1375.7,0.072690267,3001,300.1,1000,100,3.001,45521,45.521,103,10.3,0.9375,100,10
"(15, 15)",140,301,30.1,3,0.3,298,29.8,10,1,16556,1655.6,0.060401063,3009,300.9,1000,100,3.009,52916,52.916,119,11.9,0.967845659,100,10
"(15, 15)",150,509,50.9,3,0.3,506,50.6,10,1,23273,2327.3,0.042968246,3004,300.4,1000,100,3.004,53311,53.311,115,11.5,0.980732177,100,10
"(15, 15)",160,608,60.8,5,0.5,603,60.3,10,1,37718,3771.8,0.02651254,3003,300.3,1000,100,3.003,43411,43.411,94,9.4,0.98381877,100,10
"(15, 15)",170,418,41.8,3,0.3,415,41.5,10,1,55927,5592.7,0.016199689,2722,272.2,906,90.6,3.004415011,40442,44.63796909,88,8.8,0.976635514,100,10
"(15, 15)",180,882,88.2,0,0,882,88.2,10,1,44215,4421.5,0.007282596,966,96.6,322,32.2,3,15545,48.27639752,36,3.6,0.988789238,100,10
"(15, 15)",190,2699,269.9,1,0.1,2698,269.8,10,1,19323,1932.3,0.003105108,180,18,60,6,3,2529,42.15,5,0.5,0.996308601,100,10
"(15, 15)",200,2298,229.8,2,0.2,2296,229.6,10,1,12986,1298.6,0.001617126,63,6.3,21,2.1,3,1254,59.71428571,3,0.3,0.995667244,100,10
"(15, 15)",210,8154,815.4,4,0.4,8150,815,4,0.4,4183,418.3,0.001195314,15,1.5,5,0.5,3,5,1,0,0,0.999509684,100,10
"(15, 15)",220,10000,1000,0,0,10000,1000,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,1,100,10
"(15, 15)",225,10000,1000,0,0,10000,1000,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,1,100,10
