Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Std deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move,Mean avalanche matches after first move,Median avalanche matches after first move
bottom_agent,"(10, 10)",14,1.08,1.0,0.56,0.0,0.52,1.0,0.14,0.14,1.37,1.4,34.34,33.79,10.0,10.0,15.43,15.61,1.58,1.5,3.06,3.0,0.42,0.44,0.06,0.14,0.02
bottom_agent,"(10, 10)",15,1.04,1.0,0.5,0.0,0.54,1.0,0.16,0.17,1.63,1.66,33.7,33.32,10.0,10.0,15.98,15.99,1.44,1.34,3.02,3.0,0.16,0.26,0.06,0.09,0.02
bottom_agent,"(10, 10)",18,0.73,0.0,0.22,0.0,0.5,0.0,0.28,0.28,2.78,2.84,32.7,32.48,10.0,10.0,18.97,19.24,1.36,1.33,3.02,3.0,0.12,0.18,0.06,0.06,0.02
bottom_agent,"(10, 10)",20,0.62,0.0,0.2,0.0,0.42,0.0,0.36,0.37,3.57,3.68,32.16,32.0,10.0,10.0,19.87,20.12,1.29,1.26,3.02,3.0,0.29,0.13,0.0,0.04,0.0
bottom_agent,"(15, 15)",15,4.2,3.0,3.4,2.0,0.8,1.0,0.03,0.01,0.3,0.1,35.08,34.49,10.0,10.0,16.47,11.31,1.48,1.35,3.07,3.0,0.35,0.71,0.06,0.21,0.02
bottom_agent,"(15, 15)",20,1.62,1.0,1.01,0.0,0.6,1.0,0.11,0.11,1.11,1.14,33.34,32.88,10.0,10.0,30.78,31.87,1.25,1.16,3.03,3.0,0.3,0.34,0.06,0.1,0.02
bottom_agent,"(15, 15)",25,0.9,0.0,0.46,0.0,0.44,0.0,0.19,0.19,1.91,1.94,32.31,32.02,10.0,10.0,37.31,37.46,1.14,1.1,3.04,3.0,0.27,0.12,0.0,0.04,0.0
bottom_agent,"(15, 15)",30,0.57,0.0,0.18,0.0,0.4,0.0,0.3,0.3,2.99,3.02,31.64,31.44,10.0,10.0,43.35,43.56,1.13,1.1,3.0,3.0,0.07,0.13,0.0,0.04,0.0
bottom_agent,"(20, 20)",20,5.16,3.0,4.35,2.0,0.81,1.0,0.03,0.0,0.29,0.0,34.07,33.9,10.0,10.0,25.02,11.28,1.2,1.21,3.06,3.0,0.39,0.53,0.06,0.17,0.02
bottom_agent,"(20, 20)",25,2.07,1.0,1.37,0.0,0.7,1.0,0.08,0.1,0.85,1.0,32.99,32.66,10.0,10.0,47.38,52.77,1.08,1.04,3.04,3.0,0.25,0.32,0.0,0.1,0.0
bottom_agent,"(20, 20)",30,1.0,0.0,0.53,0.0,0.48,0.0,0.14,0.14,1.38,1.38,32.3,31.92,10.0,10.0,58.83,58.73,1.06,0.98,3.0,3.0,0.0,0.15,0.0,0.05,0.0
bottom_agent,"(20, 20)",35,0.8,0.0,0.34,0.0,0.47,0.0,0.2,0.2,2.01,2.04,31.83,31.52,10.0,10.0,67.84,67.61,1.05,0.99,3.01,3.0,0.1,0.13,0.0,0.04,0.0
bottom_agent,"(20, 20)",40,0.51,0.0,0.13,0.0,0.38,0.0,0.28,0.29,2.78,2.88,31.42,31.28,10.0,10.0,75.87,76.23,1.05,1.04,3.02,3.0,0.21,0.06,0.0,0.02,0.0
bottom_agent,"(20, 20)",45,0.76,0.0,0.24,0.0,0.52,0.0,0.35,0.36,3.54,3.57,31.08,31.04,10.0,10.0,80.05,80.35,1.04,1.05,3.02,3.0,0.14,0.02,0.0,0.01,0.0
bottom_agent,"(20, 20)",50,0.64,0.0,0.22,0.0,0.42,0.0,0.44,0.45,4.41,4.52,30.99,30.88,10.0,10.0,80.38,81.57,1.04,1.04,3.02,3.0,0.23,0.04,0.0,0.01,0.0
random_agent,"(5, 5)",5,1.96,1.0,1.3,0.0,0.66,1.0,0.02,0.02,0.18,0.16,47.92,47.52,10.0,10.0,4.9,4.86,4.49,4.44,3.24,3.0,0.45,1.71,1.44,0.47,0.41
random_agent,"(5, 5)",6,1.11,1.0,0.56,0.0,0.55,1.0,0.07,0.07,0.68,0.66,40.92,40.77,10.0,10.0,4.23,4.2,3.01,2.99,3.16,3.0,0.34,0.93,0.84,0.28,0.26
random_agent,"(5, 5)",7,1.0,0.0,0.46,0.0,0.54,0.0,0.16,0.15,1.57,1.51,37.52,37.42,10.0,10.0,4.34,4.24,2.33,2.32,3.1,3.0,0.27,0.73,0.52,0.22,0.16
random_agent,"(5, 5)",8,1.02,1.0,0.38,0.0,0.64,1.0,0.27,0.27,2.73,2.68,35.68,35.46,10.0,10.0,4.51,4.48,2.0,1.99,3.11,3.0,0.36,0.52,0.36,0.16,0.12
random_agent,"(5, 5)",9,0.71,0.0,0.18,0.0,0.54,0.0,0.42,0.42,4.16,4.16,34.23,34.16,10.0,10.0,4.74,4.73,1.76,1.76,3.05,3.0,0.19,0.35,0.24,0.11,0.08
random_agent,"(5, 5)",10,0.64,0.0,0.13,0.0,0.52,0.0,0.57,0.57,5.73,5.68,33.46,33.3,10.0,10.0,4.87,4.88,1.6,1.58,3.07,3.0,0.34,0.32,0.18,0.1,0.06
random_agent,"(10, 10)",10,3.32,2.0,2.56,1.0,0.76,1.0,0.02,0.01,0.22,0.14,36.9,36.54,10.0,10.0,8.72,8.19,1.91,1.82,3.1,3.0,0.19,0.74,0.6,0.22,0.18
random_agent,"(10, 10)",12,1.6,1.0,0.96,0.0,0.64,1.0,0.07,0.06,0.68,0.64,34.79,34.58,10.0,10.0,11.47,10.96,1.51,1.5,3.06,3.0,0.15,0.44,0.3,0.14,0.1
random_agent,"(10, 10)",14,1.08,1.0,0.56,0.0,0.52,1.0,0.13,0.13,1.26,1.28,33.71,33.54,10.0,10.0,14.22,14.33,1.37,1.36,3.04,3.0,0.12,0.31,0.17,0.1,0.05
random_agent,"(10, 10)",15,1.04,1.0,0.5,0.0,0.54,1.0,0.15,0.16,1.54,1.59,33.18,33.01,10.0,10.0,15.23,15.21,1.28,1.26,3.04,3.0,0.16,0.23,0.12,0.07,0.04
random_agent,"(10, 10)",18,0.73,0.0,0.22,0.0,0.5,0.0,0.27,0.27,2.67,2.73,32.45,32.31,10.0,10.0,18.42,18.54,1.27,1.28,3.04,3.0,0.17,0.18,0.06,0.06,0.02
random_agent,"(10, 10)",20,0.62,0.0,0.2,0.0,0.42,0.0,0.34,0.35,3.44,3.54,31.93,31.82,10.0,10.0,19.4,19.42,1.21,1.2,3.02,3.0,0.18,0.13,0.06,0.04,0.02
random_agent,"(15, 15)",15,4.2,3.0,3.4,2.0,0.8,1.0,0.02,0.01,0.23,0.1,34.26,34.03,10.0,10.0,14.59,11.03,1.22,1.18,3.06,3.0,0.11,0.43,0.3,0.13,0.09
random_agent,"(15, 15)",20,1.62,1.0,1.01,0.0,0.6,1.0,0.1,0.11,1.03,1.11,32.93,32.65,10.0,10.0,29.06,29.83,1.11,1.04,3.02,3.0,0.08,0.25,0.06,0.08,0.02
random_agent,"(15, 15)",25,0.9,0.0,0.46,0.0,0.44,0.0,0.18,0.18,1.81,1.82,31.94,31.8,10.0,10.0,35.87,35.67,1.02,0.98,3.04,3.0,0.15,0.12,0.06,0.04,0.02
random_agent,"(15, 15)",30,0.57,0.0,0.18,0.0,0.4,0.0,0.29,0.3,2.91,2.96,31.54,31.38,10.0,10.0,41.9,42.07,1.08,1.06,3.01,3.0,0.04,0.1,0.0,0.03,0.0
random_agent,"(20, 20)",20,5.16,3.0,4.35,2.0,0.81,1.0,0.02,0.01,0.21,0.06,33.24,32.9,10.0,10.0,20.44,11.97,0.95,0.85,3.04,3.0,0.08,0.34,0.22,0.11,0.06
random_agent,"(20, 20)",25,2.07,1.0,1.37,0.0,0.7,1.0,0.08,0.09,0.77,0.94,32.51,32.52,10.0,10.0,43.11,49.69,0.91,0.94,3.03,3.0,0.11,0.21,0.06,0.07,0.02
random_agent,"(20, 20)",30,1.0,0.0,0.53,0.0,0.48,0.0,0.13,0.13,1.33,1.32,31.96,31.76,10.0,10.0,56.98,56.87,0.93,0.88,3.01,3.0,0.07,0.1,0.0,0.03,0.0
random_agent,"(20, 20)",35,0.8,0.0,0.34,0.0,0.47,0.0,0.19,0.2,1.93,1.98,31.57,31.41,10.0,10.0,65.29,66.1,0.96,0.94,3.01,3.0,0.05,0.09,0.0,0.03,0.0
random_agent,"(20, 20)",40,0.51,0.0,0.13,0.0,0.38,0.0,0.27,0.28,2.7,2.8,31.25,31.14,10.0,10.0,72.97,71.94,0.99,0.98,3.01,3.0,0.08,0.05,0.0,0.02,0.0
random_agent,"(20, 20)",45,0.76,0.0,0.24,0.0,0.52,0.0,0.35,0.35,3.48,3.54,30.99,30.94,10.0,10.0,77.68,77.36,0.99,0.98,3.02,3.0,0.08,0.03,0.0,0.01,0.0
random_agent,"(20, 20)",50,0.64,0.0,0.22,0.0,0.42,0.0,0.43,0.44,4.33,4.43,30.9,30.81,10.0,10.0,80.26,80.97,1.02,1.02,3.02,3.0,0.12,0.05,0.0,0.02,0.0
