Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(10, 10)",10,2,1,1,48,0.096,1842,36.84,500,10,8105,16.21,104,0.208,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,2,1,1,41,0.082,1920,38.4,500,10,7319,14.638,125,0.25,10,150,3,0,0,0
top_agent,"(10, 10)",10,1,0,1,9,0.018,1765,35.3,500,10,4671,9.342,74,0.148,10,150,3,12,0.24,4
bottom_agent,"(10, 10)",10,1,0,1,7,0.014,2150,43,500,10,4155,8.31,125,0.25,10,150,3,44,0.88,13
top_agent,"(10, 10)",10,5,4,1,0,0,1779,35.58,500,10,3184,6.368,85,0.17,10,150,3,24,0.48,8
bottom_agent,"(10, 10)",10,5,4,1,3,0.006,1871,37.42,500,10,3222,6.444,111,0.222,10,150,3,0,0,0
top_agent,"(10, 10)",10,0,0,0,5,0.01,1693,33.86,500,10,2841,5.682,46,0.092,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,0,0,0,0,0,1676,33.52,500,10,2657,5.314,52,0.104,10,150,3,12,0.24,4
top_agent,"(10, 10)",10,1,0,1,0,0,1587,31.74,500,10,2823,5.646,23,0.046,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,1,0,1,13,0.026,1662,33.24,500,10,4191,8.382,44,0.088,10,150,3,6,0.12,2
top_agent,"(10, 10)",10,0,0,0,1,0.002,1847,36.94,500,10,4321,8.642,97,0.194,10,150,3,30,0.6,10
bottom_agent,"(10, 10)",10,0,0,0,2,0.004,2135,42.7,500,10,3197,6.394,191,0.382,10,150,3,206,4.12,62
top_agent,"(10, 10)",10,8,7,1,0,0,1621,32.42,500,10,3036,6.072,36,0.072,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,8,7,1,0,0,2006,40.12,500,10,3495,6.99,154,0.308,10,150,3,12,0.24,4
top_agent,"(10, 10)",10,9,8,1,0,0,1861,37.22,500,10,2547,5.094,92,0.184,10,150,3,7,0.14,2
bottom_agent,"(10, 10)",10,9,8,1,0,0,1950,39,500,10,2892,5.784,118,0.236,10,150,3,156,3.12,50
top_agent,"(10, 10)",10,2,1,1,0,0,1810,36.2,500,10,2776,5.552,92,0.184,10,150,3,181,3.62,56
bottom_agent,"(10, 10)",10,2,1,1,0,0,1926,38.52,500,10,3368,6.736,91,0.182,10,150,3,0,0,0
top_agent,"(10, 10)",10,2,1,1,48,0.096,1770,35.4,500,10,8538,17.076,89,0.178,10,150,3,33,0.66,11
bottom_agent,"(10, 10)",10,2,1,1,37,0.074,1777,35.54,500,10,6492,12.984,86,0.172,10,150,3,24,0.48,8
top_agent,"(10, 10)",10,0,0,0,0,0,1688,33.76,500,10,2022,4.044,41,0.082,10,150,3,15,0.3,5
bottom_agent,"(10, 10)",10,0,0,0,1,0.002,1925,38.5,500,10,2659,5.318,114,0.228,10,200,4,3,0.06,1
top_agent,"(10, 10)",10,1,0,1,0,0,1885,37.7,500,10,4240,8.48,115,0.23,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,1,0,1,0,0,1855,37.1,500,10,2975,5.95,111,0.222,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,10,9,1,0,0,1730,34.6,500,10,4208,8.416,72,0.144,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,10,9,1,8,0.016,1949,38.98,500,10,4875,9.75,112,0.224,10,150,3,219,4.38,59
top_agent,"(10, 10)",10,4,3,1,0,0,1616,32.32,500,10,1510,3.02,34,0.068,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,4,3,1,8,0.016,1970,39.4,500,10,3316,6.632,144,0.288,10,150,3,12,0.24,4
top_agent,"(10, 10)",10,6,5,1,0,0,2005,40.1,500,10,3308,6.616,74,0.148,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,6,5,1,10,0.02,2179,43.58,500,10,4256,8.512,94,0.188,10,300,6,15,0.3,5
top_agent,"(10, 10)",10,5,4,1,8,0.016,1725,34.5,500,10,3151,6.302,68,0.136,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,5,4,1,40,0.08,1723,34.46,500,10,6679,13.358,74,0.148,10,150,3,0,0,0
top_agent,"(10, 10)",10,1,0,1,2,0.004,1716,34.32,500,10,2580,5.16,69,0.138,10,150,3,6,0.12,2
bottom_agent,"(10, 10)",10,1,0,1,12,0.024,1762,35.24,500,10,3445,6.89,82,0.164,10,150,3,0,0,0
top_agent,"(10, 10)",10,0,0,0,10,0.02,1720,34.4,500,10,3390,6.78,65,0.13,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,0,0,0,25,0.05,1772,35.44,500,10,5126,10.252,86,0.172,10,150,3,6,0.12,2
top_agent,"(10, 10)",10,3,2,1,0,0,2011,40.22,500,10,3233,6.466,103,0.206,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,3,2,1,8,0.016,2272,45.44,500,10,3975,7.95,166,0.332,10,150,3,398,7.96,60
top_agent,"(10, 10)",10,10,9,1,10,0.02,1706,34.12,500,10,3706,7.412,47,0.094,10,150,3,27,0.54,7
bottom_agent,"(10, 10)",10,10,9,1,18,0.036,1755,35.1,500,10,4960,9.92,53,0.106,10,150,3,6,0.12,2
top_agent,"(10, 10)",10,7,6,1,0,0,1686,33.72,500,10,3976,7.952,53,0.106,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,7,6,1,0,0,1776,35.52,500,10,3278,6.556,83,0.166,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,2,1,1,0,0,1793,35.86,500,10,3017,6.034,81,0.162,10,150,3,12,0.24,4
bottom_agent,"(10, 10)",10,2,1,1,0,0,1904,38.08,500,10,3376,6.752,117,0.234,10,150,3,18,0.36,6
top_agent,"(10, 10)",10,16,15,1,0,0,2061,41.22,500,10,4488,8.976,156,0.312,10,150,3,31,0.62,10
bottom_agent,"(10, 10)",10,16,15,1,0,0,2063,41.26,500,10,3455,6.91,125,0.25,10,150,3,186,3.72,60
top_agent,"(10, 10)",10,18,17,1,16,0.032,2037,40.74,500,10,5222,10.444,112,0.224,10,150,3,18,0.36,6
bottom_agent,"(10, 10)",10,18,17,1,8,0.016,2128,42.56,500,10,4048,8.096,155,0.31,10,150,3,165,3.3,54
top_agent,"(10, 10)",10,5,4,1,2,0.004,1668,33.36,500,10,3238,6.476,51,0.102,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,5,4,1,18,0.036,2120,42.4,500,10,5062,10.124,189,0.378,10,150,3,16,0.32,5
top_agent,"(10, 10)",10,1,0,1,1,0.002,1857,37.14,500,10,3933,7.866,110,0.22,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,1,0,1,3,0.006,2040,40.8,500,10,2736,5.472,158,0.316,10,150,3,6,0.12,2
top_agent,"(10, 10)",10,1,0,1,0,0,1880,37.6,500,10,3188,6.376,112,0.224,10,150,3,56,1.12,16
bottom_agent,"(10, 10)",10,1,0,1,0,0,1873,37.46,500,10,2990,5.98,118,0.236,10,150,3,183,3.66,59
top_agent,"(10, 10)",10,3,2,1,12,0.024,1733,34.66,500,10,4280,8.56,59,0.118,10,150,3,18,0.36,6
bottom_agent,"(10, 10)",10,3,2,1,11,0.022,1769,35.38,500,10,3775,7.55,72,0.144,10,150,3,18,0.36,6
top_agent,"(10, 10)",10,1,0,1,8,0.016,1803,36.06,500,10,3092,6.184,95,0.19,10,150,3,4,0.08,1
bottom_agent,"(10, 10)",10,1,0,1,8,0.016,1710,34.2,500,10,2749,5.498,66,0.132,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,6,5,1,3,0.006,1664,33.28,500,10,2598,5.196,50,0.1,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,6,5,1,10,0.02,1755,35.1,500,10,3589,7.178,77,0.154,10,150,3,37,0.74,12
top_agent,"(10, 10)",10,5,4,1,1,0.002,1721,34.42,500,10,3522,7.044,64,0.128,10,150,3,9,0.18,3
bottom_agent,"(10, 10)",10,5,4,1,6,0.012,2083,41.66,500,10,6128,12.256,162,0.324,10,150,3,37,0.74,11
top_agent,"(10, 10)",10,1,0,1,4,0.008,1687,33.74,500,10,3073,6.146,58,0.116,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,1,0,1,3,0.006,1850,37,500,10,3232,6.464,56,0.112,10,150,3,0,0,0
top_agent,"(10, 10)",10,0,0,0,24,0.048,1676,33.52,500,10,5269,10.538,56,0.112,10,150,3,4,0.08,1
bottom_agent,"(10, 10)",10,0,0,0,47,0.094,1824,36.48,500,10,8035,16.07,108,0.216,10,150,3,0,0,0
